RNC,NCF,Fecha,Tipo_Comprobante,Monto_Servicios,Monto_Bienes,Monto_Total,ITBIS_Facturado,ITBIS_Retenido
101234567,B0100000001,2024-01-05,01 - Factura de Crédito Fiscal,0,85000,85000,15300,0
202345678,B0100000002,2024-01-12,01 - Factura de Crédito Fiscal,20000,0,20000,3600,0
303456789,B0100000003,2024-01-20,02 - Factura de Consumo,0,12500,12500,2250,0
101234567,B0100000004,2024-02-03,01 - Factura de Crédito Fiscal,0,95000,95000,17100,0
404567890,B0100000005,2024-02-14,01 - Factura de Crédito Fiscal,35000,0,35000,6300,1000
202345678,B0100000006,2024-02-28,02 - Factura de Consumo,0,8000,8000,1440,0
505678901,B0100000007,2024-03-05,01 - Factura de Crédito Fiscal,0,120000,120000,21600,0
303456789,B0100000008,2024-03-10,04 - Nota de Débito,5000,0,5000,900,0
101234567,B0100000009,2024-03-22,01 - Factura de Crédito Fiscal,0,75000,75000,13500,0
606789012,B0100000010,2024-04-01,01 - Factura de Crédito Fiscal,18000,42000,60000,10800,1500
202345678,B0100000011,2024-04-15,02 - Factura de Consumo,0,9500,9500,1710,0
404567890,B0100000012,2024-04-30,01 - Factura de Crédito Fiscal,0,88000,88000,15840,0
707890123,B0100000013,2024-05-08,01 - Factura de Crédito Fiscal,0,200000,200000,36000,0
505678901,B0100000014,2024-05-20,01 - Factura de Crédito Fiscal,50000,0,50000,9000,1200
101234567,B0100000015,2024-05-31,01 - Factura de Crédito Fiscal,0,110000,110000,19800,0
808901234,B0100000016,2024-06-07,02 - Factura de Consumo,0,15000,15000,2700,0
303456789,B0100000017,2024-06-18,01 - Factura de Crédito Fiscal,22000,0,22000,3960,0
606789012,B0100000018,2024-06-25,01 - Factura de Crédito Fiscal,0,95000,95000,17100,1800
202345678,B0100000019,2024-07-03,01 - Factura de Crédito Fiscal,0,130000,130000,23400,0
707890123,B0100000020,2024-07-15,01 - Factura de Crédito Fiscal,0,175000,175000,31500,0
